,x,y,z,c
0,-5915666.277760657,-214.774194181985,-118.55972658943212,0
1,-5889159.293545258,-243.79944040537657,-172.04508850038312,0
2,174986.0802833165,417.14780501079787,-191.21963426668077,0
3,-5902821.310668676,-251.85282838815448,-116.52426116005587,0
4,-5318059.736991111,-48.11361528317475,738.7652699610848,0
5,-5746809.239820963,-272.9722974358162,-40.91688619741128,0
6,4145515.572960395,511.68498984013615,-176.76953876582132,0
7,-5810162.257043223,-253.59340614444187,-23.707154984415933,0
8,-5479025.924406829,-131.90141904266866,80.36748943107595,0
9,-5757449.157681159,-191.6001979255544,184.63606950490654,0
10,2644111.4327079062,295.686221686374,-174.7524435205664,0
11,-3821495.5874499786,177.8179722062143,136.7513248285612,0
12,-4700692.10699122,187.6321074114379,762.213598646959,0
13,-5953764.380512582,-287.9265576947582,-212.04762653549398,0
14,10258358.001179175,284.15451365442266,-153.71705633417017,0
15,382731.58518007124,-146.5812026993749,799.6655718438641,0
16,-5795801.2105549835,-219.26134734554984,-106.28270028212049,0
17,-5953983.372116521,-279.7482210094234,-121.23164311113177,0
18,-4873263.693147664,-253.38694186758494,117.89726417555188,0
19,-5943670.366447871,-281.13241817704534,-212.373191635138,0
20,-5834179.260881942,-244.1406701445189,-118.33593441366357,0
21,-5301012.900959156,-207.51214301192508,431.0100098151223,0
22,60129503.93843557,-2513.179856257937,-2.793215892652595,2
23,-5269929.910907239,-233.60328718750534,394.0539032154084,0
24,-5834173.175865119,-166.31219857864352,33.659157220330044,0
25,5113634.495093095,-90.28562801049495,-170.41321772130937,0
26,-5937719.312694491,-234.56025418196987,-148.2596153653934,0
27,5901240.203456531,123.66537928907347,-162.19729908301684,0
28,-4642287.362956962,-79.50528252198225,-201.73461671348502,0
29,1229411.252453374,-4.419845755217553,-185.4042105362556,0
30,-1479590.070886623,275.18046571700717,-191.5606330991901,0
31,-5746116.141130193,-182.91793347928012,43.16124402067334,0
32,-5960353.375882483,-279.73483673453813,-149.00653951712619,0
33,1098432.3654467424,170.3013086611458,-184.34351375101255,0
34,-3028390.991988656,285.11075132516515,-196.62599911829304,0
35,1829979.1816485492,2336.6621995045507,-186.85158835598315,0
36,-5580020.896905077,-51.21874816339157,178.2776342013998,0
37,-5917157.328436794,-260.14089787058924,-120.24166517109141,0
38,-5925906.321190051,-248.6128051363517,-39.86307823664348,0
39,-5863410.309171444,-273.11428687735287,-205.26499660504166,0
40,2252255.603932211,-243.94700457090673,280.16027405523124,0
41,-783992.4825773514,430.0962384795398,-189.85321782752592,0
42,297760.9197768629,203.49020343473074,-187.66272463137855,0
43,-5299408.606116771,59.30670560421542,-202.89127086270517,0
44,-5524984.993942515,-169.68250576381044,260.58389836286165,0
45,-5768927.041804353,-79.89392973186446,69.44628223785482,0
46,-5317881.818407876,-123.00138821804514,400.86700003494263,0
47,-4728847.642544242,-285.35701848722044,645.2298861686918,0
48,695071.9651348139,938.6244712028779,-184.7157092666992,0
49,-5670676.016376439,-109.98643580885897,375.4690994679955,0
50,-5278925.960844783,-275.26725991671066,88.82347431274897,0
51,-5897697.27461809,-221.5804665197824,-25.19784069319882,0
52,-357091.24241167906,414.81565963534604,-191.32764027414058,0
53,-3597973.320937714,299.122952704926,665.0373484301349,0
54,-5815448.19759303,-196.70385130508402,-88.73488835405848,0
55,-5921417.331764605,-260.59679080868426,18.86480769680843,0
56,-5197731.692557803,-73.93672699759492,560.8689266127669,0
57,-5374188.90168371,-167.51337413428993,714.4811599044405,0
58,-5409087.990380203,-229.23852833923962,753.192367987236,0
59,-5869953.297701945,-257.9634105885006,-47.947947519022165,0
60,-5640865.084398813,-188.56982990770538,254.51231878464125,0
61,-3414742.3902020617,133.940663330134,-199.55394983857724,0
62,-4947019.297206869,148.35819282818807,222.15535416025662,0
63,-3077250.2707943586,57.710080658487776,-199.17856214413607,0
64,-5885127.263590931,-218.38842248403407,2.996663405111905,0
65,-5946261.364682856,-278.29408220893185,-241.41220123839923,0
66,-5824126.293162626,-280.21963476822634,-272.2889992542571,0
67,-5900067.249977111,-197.92886986093083,-61.78354971345305,0
68,-5888870.321469131,-269.2160107171659,-74.46366148065619,0
69,-5961880.38341063,-286.0266591830661,-213.98427828017356,0
